GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto_ED_GRUPO14,collections.implementation,LinkedNode,30,0,0,0,13,0,7,0,7,0
Projeto_ED_GRUPO14,collections.implementation,LinkedQueue,117,0,12,0,32,0,13,0,7,0
Projeto_ED_GRUPO14,collections.implementation,ArrayList.BasicIterator,59,0,6,0,12,0,6,0,3,0
Projeto_ED_GRUPO14,collections.implementation,BinaryTreeNode,57,0,4,0,20,0,10,0,8,0
Projeto_ED_GRUPO14,collections.implementation,DoubleLinkedOrderedList,98,0,8,0,26,0,6,0,2,0
Projeto_ED_GRUPO14,collections.implementation,Pair,33,0,0,0,14,0,7,0,7,0
Projeto_ED_GRUPO14,collections.implementation,DoubleLinkedList,244,0,34,0,60,0,28,0,11,0
Projeto_ED_GRUPO14,collections.implementation,LinkedHeap,338,0,62,0,89,0,39,0,8,0
Projeto_ED_GRUPO14,collections.implementation,OrderedBinarySearchTree,43,0,0,0,18,0,9,0,9,0
Projeto_ED_GRUPO14,collections.implementation,ArrayBinaryTree,350,0,40,0,80,0,36,0,16,0
Projeto_ED_GRUPO14,collections.implementation,ArrayUnorderedList,174,0,16,0,39,0,13,0,5,0
Projeto_ED_GRUPO14,collections.implementation,PriorityQueue,20,0,0,0,7,0,3,0,3,0
Projeto_ED_GRUPO14,collections.implementation,CircularArrayQueue,185,0,20,0,38,0,18,0,8,0
Projeto_ED_GRUPO14,collections.implementation,LinkedList,177,0,32,0,52,0,21,0,5,0
Projeto_ED_GRUPO14,collections.implementation,DoubleNode,49,0,0,0,20,0,9,0,9,0
Projeto_ED_GRUPO14,collections.implementation,ArrayBinarySearchTree,941,0,98,0,170,0,60,0,11,0
Projeto_ED_GRUPO14,collections.implementation,ArrayStack,147,0,12,0,33,0,15,0,9,0
Projeto_ED_GRUPO14,collections.implementation,LinkedBinaryTree,265,0,30,0,76,0,32,0,17,0
Projeto_ED_GRUPO14,collections.implementation,ArrayHeap,314,0,38,0,59,0,26,0,7,0
Projeto_ED_GRUPO14,collections.implementation,Network,646,0,74,0,120,0,48,0,11,0
Projeto_ED_GRUPO14,collections.implementation,ArrayList,288,0,34,0,54,0,29,0,12,0
Projeto_ED_GRUPO14,collections.implementation,LinkedBinarySearchTree,326,0,58,0,88,0,39,0,10,0
Projeto_ED_GRUPO14,collections.implementation,DoubleLinkedUnorderedList,150,0,14,0,45,0,11,0,4,0
Projeto_ED_GRUPO14,collections.implementation,LinkedStack,106,0,10,0,28,0,12,0,7,0
Projeto_ED_GRUPO14,collections.implementation,ArraySortingAndSearching,415,0,54,0,84,0,36,0,9,0
Projeto_ED_GRUPO14,collections.implementation,MatrixGraph,972,0,134,0,198,0,91,0,24,0
Projeto_ED_GRUPO14,collections.implementation,HeapNode,14,0,0,0,6,0,3,0,3,0
Projeto_ED_GRUPO14,collections.implementation,LinkedListSortingAndSearching,296,0,62,0,92,0,44,0,13,0
Projeto_ED_GRUPO14,collections.implementation,PriorityQueueNode,71,0,6,0,21,0,10,0,7,0
Projeto_ED_GRUPO14,collections.implementation,DoubleLinkedList.BasicIterator,25,0,2,0,7,0,4,0,3,0
Projeto_ED_GRUPO14,collections.implementation,ArrayOrderedList,101,0,12,0,22,0,9,0,3,0
Projeto_ED_GRUPO14,collections.exceptions,ElementDoesntExistException,7,0,0,0,4,0,2,0,2,0
Projeto_ED_GRUPO14,collections.exceptions,InvalidOperationException,7,0,0,0,4,0,2,0,2,0
Projeto_ED_GRUPO14,collections.exceptions,NullException,5,0,0,0,2,0,1,0,1,0
Projeto_ED_GRUPO14,collections.exceptions,UnknownPathException,7,0,0,0,4,0,2,0,2,0
Projeto_ED_GRUPO14,collections.exceptions,NonComparableElementException,5,0,0,0,2,0,1,0,1,0
Projeto_ED_GRUPO14,collections.exceptions,ElementNotFoundException,5,0,0,0,2,0,1,0,1,0
Projeto_ED_GRUPO14,collections.exceptions,EmptyCollectionException,5,0,0,0,2,0,1,0,1,0
Projeto_ED_GRUPO14,api.implementation,Route,29,0,0,0,11,0,6,0,6,0
Projeto_ED_GRUPO14,api.implementation,PlayerManagement,269,0,32,0,69,0,27,0,11,0
Projeto_ED_GRUPO14,api.implementation,Local,65,0,0,0,23,0,12,0,12,0
Projeto_ED_GRUPO14,api.implementation,ImportExportFiles,7,0,0,0,3,0,3,0,3,0
Projeto_ED_GRUPO14,api.implementation,Player,105,0,4,0,36,0,19,0,17,0
Projeto_ED_GRUPO14,api.implementation,Portal,46,0,0,0,15,0,8,0,8,0
Projeto_ED_GRUPO14,api.implementation,Connector,34,0,0,0,11,0,6,0,6,0
Projeto_ED_GRUPO14,api.implementation,Coordinates,29,0,0,0,11,0,6,0,6,0
